,id_left,id_right,label
0,123839,806300,1
1,123839,123839,2
2,123839,836567,1
3,123839,806326,0
4,123839,806075,1
5,123839,1793430,1
6,123839,806263,1
7,123839,817579,0
8,123839,799188,0
9,123839,1901730,0
10,123839,1727316,0
11,123839,1548643,0
12,123839,186283,0
13,123839,1117174,0
14,123839,2125265,0
15,123839,429670,0
16,123839,1134193,0
17,123839,180883,0
18,123839,664130,0
19,123839,497760,0
20,123839,877423,0
21,123839,1753411,0
22,123839,1122434,0
23,123839,1193848,0
24,123839,1047363,0
25,123839,268763,0
26,123839,34714,0
27,123839,1514328,0
28,123839,1097141,0
29,123839,2073847,0
30,123839,2289161,0
31,123839,1231277,0
32,123839,1491858,0
33,123839,540688,0
34,123839,2381018,0
35,123839,92466,0
36,123839,672746,0
37,123839,1646521,0
38,123839,191461,0
39,123839,1447188,0
40,123839,2013412,0
41,123839,1892619,0
42,123839,2070100,0
43,123839,501100,0
44,123839,545889,0
45,123839,1674970,0
46,123839,2202229,0
47,123839,201815,0
48,123839,719686,0
49,123839,1863649,0
50,123839,960235,0
51,123839,1167816,0
52,123839,96990,0
53,123839,2049643,0
54,123839,246794,0
55,123839,2251700,0
56,123839,1589191,0
57,123839,1104602,0
58,123839,1617012,0
59,123839,1834436,0
60,123839,2370154,0
61,123839,637857,0
62,123839,2059124,0
63,123839,228704,0
64,123839,1605887,0
65,123839,1385195,0
66,123839,367717,0
67,123839,549702,0
68,123839,824825,0
69,123839,413246,0
70,123839,603292,0
71,123839,1657883,0
72,123839,57100,0
73,123839,143009,0
74,123839,1555809,0
75,123839,822220,0
76,123839,516483,0
77,123839,12139,0
78,123839,905177,0
79,123839,1994238,0
80,123839,999241,0
81,123839,1828915,0
82,123839,1381907,0
83,123839,600548,0
84,123839,2272306,0
85,123839,2133227,0
86,123839,269418,0
87,123839,1287537,0
88,123839,2440203,0
89,123839,1033576,0
90,123839,1358774,0
91,123839,476292,0
92,123839,1106460,0
93,123839,1875229,0
94,123839,1994126,0
95,123839,1230943,0
96,123839,93549,0
97,123839,900201,0
98,123839,468338,0
99,123839,1072773,0
100,188629,188629,2
101,188629,2185399,1
102,188629,2191096,0
103,188629,1990307,0
104,188629,2296288,0
105,188629,2304431,0
106,188629,1046396,0
107,188629,533438,0
108,188629,2290269,0
109,188629,2437665,0
110,188629,2334042,1
111,188629,221705,0
112,188629,2091835,0
113,188629,62956,0
114,188629,2059831,0
115,188629,2345716,0
116,188629,2318980,0
117,188629,1906014,0
118,188629,2263883,0
119,188629,2289835,0
120,188629,1751733,0
121,188629,2303760,0
122,188629,2124102,0
