queryID,docID,score
158491,1880296,16.965492
158491,2261272,16.965492
158491,1158969,14.833276
158491,1397771,14.833276
158491,607552,14.833276
158491,685181,14.833276
158491,967619,14.833276
158491,1957435,14.833276
158491,637819,14.833276
158491,1093529,14.833276
158491,1180246,14.833276
158491,1059585,14.833276
158491,2337647,14.833276
158491,2416831,11.953517
158491,2449064,11.531843
158491,663366,11.531843
158491,1215627,11.138907
158491,1170039,11.138907
158491,2390322,11.138907
158491,1552365,11.138907
5728,5728,17.517227
5728,98452,12.799604
5728,1890681,12.799604
5728,283099,12.799604
5728,592647,9.611742
5728,1893219,9.295022
5728,2149047,9.295022
5728,1404651,9.295022
5728,561547,9.295022
5728,360311,9.295022
5728,1118917,9.295022
5728,1676369,9.295022
5728,1240125,9.295022
5728,375146,9.295022
5728,501880,9.295022
5728,654466,9.295022
5728,970793,9.295022
5728,645822,9.295022
5728,255972,9.295022
5728,1597007,9.295022
13554,1565185,11.691456
13554,465358,11.691456
13554,507145,11.691456
13554,2136724,11.691456
13554,1339419,11.691456
13554,634118,11.691456
13554,2146926,11.691456
13554,171944,11.691456
13554,609182,11.691456
13554,108030,11.691456
13554,2164385,11.691456
13554,36049,11.691456
13554,1354456,11.691456
13554,295588,11.691456
13554,166298,11.691456
13554,1343180,11.691456
13554,1435481,11.691456
13554,147733,11.691456
32674,1317839,25.764572
32674,1378846,23.597218
32674,671380,22.526491
32674,834604,22.526491
32674,1505849,22.526491
32674,1415478,17.512785
32674,910449,17.512785
32674,1596359,16.358648
32674,910229,16.358648
32674,1551439,16.358648
32674,1855964,16.358648
32674,2086181,16.358648
32674,641096,16.358648
32674,1190958,16.358648
32674,958943,16.358648
32674,1681132,16.358648
32674,887943,16.358648
32674,1151820,16.358648
32674,1560729,16.358648
32674,1572828,16.358648
406391,2264449,17.359068
406391,2382229,16.787064
406391,1712644,16.787064
406391,1828795,16.787064
406391,2244630,16.787064
406391,1512849,16.787064
406391,2328959,16.787064
406391,2002272,16.787064
406391,1789451,16.787064
406391,1248550,16.787064
406391,1931448,16.787064
406391,2186467,16.787064
5115,5115,21.048279
5115,897966,21.048279
5115,1384004,16.363577
5115,481955,15.285177
15469,2069564,23.578808
15469,2102316,21.884136
15469,2316444,21.884136
15469,2365922,21.884136
15469,2392139,21.884136
15469,615683,20.04321
15469,1126991,19.577923
15469,1841901,19.133747
15469,1234740,19.133747
15469,2351964,19.133747
15469,975904,19.133747
15469,881423,19.133747
15469,1725001,19.133747
15469,2333769,19.133747
15469,1563034,19.133747
15469,2433489,19.133747
15469,1303237,19.133747
15469,1597587,19.133747
