158491 0 1880296 1
158491 1 2261272 1
158491 2 1158969 1
158491 3 1397771 1
158491 4 607552 1
158491 5 685181 1
158491 6 967619 1
158491 7 1957435 1
158491 8 637819 1
158491 9 1093529 1
158491 10 1180246 1
158491 11 1059585 1
158491 12 2337647 1
158491 13 2416831 1
158491 14 2449064 1
158491 15 663366 1
158491 16 1215627 1
158491 17 1170039 1
158491 18 2390322 1
158491 19 1552365 1
5728 20 5728 0
5728 21 98452 1
5728 22 1890681 1
5728 23 283099 1
5728 24 592647 1
5728 25 1893219 1
5728 26 2149047 1
5728 27 1404651 1
5728 28 561547 1
5728 29 360311 1
5728 30 1118917 1
5728 31 1676369 1
5728 32 1240125 1
5728 33 375146 1
5728 34 501880 1
5728 35 654466 1
5728 36 970793 1
5728 37 645822 1
5728 38 255972 1
5728 39 1597007 1
13554 40 1565185 1
13554 41 465358 1
13554 42 507145 1
13554 43 2136724 1
13554 44 1339419 1
13554 45 634118 1
13554 46 2146926 1
13554 47 171944 1
13554 48 609182 1
13554 49 108030 1
13554 50 2164385 1
13554 51 36049 1
13554 52 1354456 1
13554 53 295588 1
13554 54 166298 1
13554 55 1343180 1
13554 56 1435481 1
13554 57 147733 1
32674 58 1317839 1
32674 59 1378846 1
32674 60 671380 1
32674 61 834604 1
32674 62 1505849 1
32674 63 1415478 1
32674 64 910449 1
32674 65 1596359 1
32674 66 910229 1
32674 67 1551439 1
32674 68 1855964 1
32674 69 2086181 1
32674 70 641096 1
32674 71 1190958 1
32674 72 958943 1
32674 73 1681132 1
32674 74 887943 1
32674 75 1151820 1
32674 76 1560729 1
32674 77 1572828 1
406391 78 2264449 1
406391 79 2382229 1
406391 80 1712644 1
406391 81 1828795 1
406391 82 2244630 1
406391 83 1512849 1
406391 84 2328959 1
406391 85 2002272 1
406391 86 1789451 1
406391 87 1248550 1
406391 88 1931448 1
406391 89 2186467 1
5115 90 5115 0
5115 91 897966 1
5115 92 1384004 1
5115 93 481955 1
15469 94 2069564 1
15469 95 2102316 1
15469 96 2316444 1
15469 97 2365922 1
15469 98 2392139 1
15469 99 615683 1
15469 100 1126991 1
15469 101 1841901 1
15469 102 1234740 1
15469 103 2351964 1
15469 104 975904 1
15469 105 881423 1
15469 106 1725001 1
15469 107 2333769 1
15469 108 1563034 1
15469 109 2433489 1
15469 110 1303237 1
15469 111 1597587 1
15469 112 2452830 1
15469 113 1601230 1
62953 114 62953 0
62953 115 373568 1
62953 116 1547418 1
62953 117 252433 1
62953 118 1335 1
62953 119 289330 1
62953 120 62956 1
62953 121 2397733 1
152444 122 242736 1
152444 123 152444 0
152444 124 289563 1
152444 125 1150937 1
152444 126 247573 1
152444 127 1225505 1
152444 128 376703 1
152444 129 128064 1
152444 130 2124613 1
152444 131 279748 1
152444 132 2251234 1
152444 133 1647163 1
104086 134 104086 0
104086 135 1464230 1
104086 136 1531009 1
104086 137 1800147 1
104086 138 1548144 1
104086 139 1282288 1
104086 140 453448 1
104086 141 410882 1
104086 142 1196712 1
104086 143 1439799 1
104086 144 1547597 1
104086 145 410885 1
104086 146 1327711 1
104086 147 1735721 1
104086 148 1648450 1
104086 149 1047983 1
104086 150 410883 1
104086 151 2283603 1
104086 152 410658 1
104086 153 2032437 1
145194 154 2341007 1
145194 155 145194 0
145194 156 926875 1
145194 157 1089847 1
145194 158 1916175 1
145194 159 1400670 1
145194 160 1260423 1
145194 161 565665 1
145194 162 2353524 1
145194 163 2417601 1
145194 164 1904588 1
145194 165 1939883 1
145194 166 485412 1
145194 167 1490667 1
145194 168 1326446 1
145194 169 1091413 1
145194 170 406476 1
145194 171 930936 1
145194 172 2000075 1
145194 173 1497973 1
73752 174 508040 1
73752 175 1769992 1
73752 176 269878 1
73752 177 814635 1
73752 178 648108 1
